Actual_Days_for_Shipping,Predicted_Days_for_Shipping,Prediction_Error
1.0,0.9926,0.007399999999999962
4.0,4.1154,-0.11540000000000017
2.0,3.9136,-1.9136000000000002
6.0,4.0634,1.9366000000000003
5.0,4.0189,0.9810999999999996
5.0,3.9536,1.0464000000000002
6.0,4.0827,1.9173
4.0,3.949,0.051000000000000156
4.0,4.2782,-0.2782
2.0,2.0,0.0
2.0,3.6128,-1.6128
2.0,2.0,0.0
6.0,4.1131,1.8868999999999998
4.0,3.9613,0.03869999999999996
2.0,2.0,0.0
6.0,4.0672,1.9328000000000003
2.0,4.1656,-2.1656000000000004
5.0,3.9683,1.0316999999999998
0.0,0.0,0.0
5.0,3.9675,1.0325000000000002
6.0,4.0453,1.9546999999999999
2.0,2.0,0.0
2.0,2.0,0.0
2.0,3.9653,-1.9653
2.0,3.9603,-1.9603000000000002
2.0,2.0,0.0
6.0,4.0494,1.9505999999999997
2.0,2.0,0.0
1.0,0.9914,0.008600000000000052
4.0,3.7984,0.2016
3.0,3.9138,-0.9138000000000002
2.0,3.7685,-1.7685
5.0,4.0881,0.9119000000000002
3.0,3.9965,-0.9965000000000002
6.0,4.3237,1.6763000000000003
6.0,4.097,1.9029999999999996
5.0,4.0859,0.9141000000000004
2.0,2.0,0.0
1.0,0.9926,0.007399999999999962
6.0,4.0048,1.9951999999999996
4.0,4.0379,-0.0378999999999996
6.0,3.9812,2.0188
2.0,3.755,-1.755
2.0,2.0,0.0
6.0,4.1079,1.8921000000000001
3.0,4.012,-1.0119999999999996
3.0,3.9097,-0.9097
4.0,3.9941,0.005900000000000016
4.0,3.7106,0.2894000000000001
0.0,0.0,0.0
6.0,3.9946,2.0054
2.0,4.0065,-2.0065
2.0,3.9687,-1.9687000000000001
3.0,3.9862,-0.9862000000000002
2.0,2.0,0.0
2.0,2.0,0.0
2.0,3.826,-1.826
6.0,4.068,1.9320000000000004
6.0,4.0459,1.9541000000000004
4.0,4.0554,-0.05539999999999967
4.0,3.9981,0.0019000000000000128
5.0,3.9793,1.0207000000000002
3.0,3.9122,-0.9121999999999999
6.0,5.1965,0.8034999999999997
5.0,4.3881,0.6119000000000003
4.0,3.7687,0.23130000000000006
2.0,4.2725,-2.2725
4.0,4.0704,-0.07040000000000024
2.0,2.0,0.0
4.0,3.6473,0.3527
4.0,3.9486,0.05140000000000011
2.0,3.8293,-1.8293
5.0,4.0982,0.9017999999999997
6.0,4.1769,1.8231000000000002
2.0,2.0,0.0
5.0,3.9568,1.0432000000000001
1.0,0.9926,0.007399999999999962
2.0,2.0,0.0
5.0,3.9506,1.0493999999999999
2.0,2.0,0.0
5.0,4.0585,0.9414999999999996
4.0,4.2326,-0.2325999999999997
2.0,2.0,0.0
2.0,3.9091,-1.9091
6.0,4.181,1.819
2.0,3.9986,-1.9986000000000002
6.0,3.9849,2.0151
3.0,3.8199,-0.8199000000000001
2.0,4.0425,-2.0425000000000004
2.0,3.5833,-1.5833
2.0,2.0,0.0
6.0,4.0369,1.9630999999999998
5.0,4.0112,0.9888000000000003
5.0,4.0237,0.9763000000000002
6.0,3.965,2.035
2.0,3.9945,-1.9945
6.0,3.9318,2.0682
2.0,2.0,0.0
2.0,3.7893,-1.7893
5.0,4.878,0.12199999999999989
5.0,3.9824,1.0175999999999998
6.0,4.3485,1.6515000000000004
6.0,4.0,2.0
5.0,4.0571,0.9428999999999998
3.0,3.9213,-0.9213
6.0,3.9179,2.0821
2.0,2.0,0.0
4.0,3.9929,0.007099999999999884
3.0,3.988,-0.988
2.0,3.8751,-1.8751000000000002
2.0,3.9693,-1.9693
2.0,2.0,0.0
6.0,3.9651,2.0349
4.0,4.4175,-0.4175000000000004
4.0,3.9573,0.04269999999999996
3.0,4.6167,-1.6166999999999998
2.0,3.9591,-1.9590999999999998
3.0,3.9163,-0.9163000000000001
6.0,4.3687,1.6313000000000004
6.0,4.3999,1.6001000000000003
5.0,4.0245,0.9755000000000003
2.0,2.0,0.0
2.0,2.0,0.0
2.0,4.0152,-2.0152
2.0,2.0,0.0
4.0,3.977,0.02300000000000013
2.0,2.0,0.0
5.0,4.1327,0.8673000000000002
4.0,3.835,0.16500000000000004
3.0,4.022,-1.0220000000000002
6.0,3.9887,2.0113
6.0,4.164,1.8360000000000003
2.0,2.0,0.0
1.0,0.9926,0.007399999999999962
0.0,0.0,0.0
5.0,3.9918,1.0082
3.0,4.0014,-1.0014000000000003
3.0,3.9673,-0.9672999999999998
2.0,3.9798,-1.9798
2.0,2.0,0.0
2.0,3.7131,-1.7130999999999998
6.0,4.2556,1.7443999999999997
2.0,3.6228,-1.6227999999999998
4.0,4.3235,-0.3235000000000001
4.0,4.0516,-0.051599999999999646
6.0,4.2444,1.7556000000000003
3.0,3.7682,-0.7682000000000002
3.0,3.7727,-0.7726999999999999
6.0,4.0778,1.9222000000000001
3.0,3.671,-0.6709999999999998
4.0,4.0833,-0.08330000000000037
0.0,0.0,0.0
4.0,4.0347,-0.03469999999999995
3.0,3.5367,-0.5367000000000002
2.0,3.4329,-1.4329
3.0,3.8744,-0.8744000000000001
5.0,4.095,0.9050000000000002
3.0,3.9616,-0.9615999999999998
3.0,3.9665,-0.9664999999999999
2.0,2.0,0.0
3.0,3.9493,-0.9493
2.0,3.9409,-1.9409
1.0,0.9926,0.007399999999999962
3.0,4.0059,-1.0058999999999996
5.0,3.7829,1.2170999999999998
2.0,4.0538,-2.0538
5.0,3.9516,1.0484
2.0,2.0,0.0
2.0,3.7213,-1.7212999999999998
0.0,0.0,0.0
4.0,3.984,0.016000000000000014
2.0,2.0,0.0
2.0,2.0,0.0
2.0,3.9573,-1.9573
6.0,4.0224,1.9775999999999998
2.0,3.215,-1.2149999999999999
4.0,3.9347,0.06530000000000014
5.0,3.9882,1.0118
5.0,3.9585,1.0415
6.0,3.7117,2.2883
4.0,3.9668,0.033199999999999896
6.0,4.0516,1.9484000000000004
3.0,3.8556,-0.8555999999999999
2.0,2.0,0.0
3.0,3.8976,-0.8976000000000002
5.0,4.1764,0.8235999999999999
1.0,0.9926,0.007399999999999962
6.0,3.9769,2.0231
2.0,3.9708,-1.9708
4.0,3.9824,0.017599999999999838
6.0,4.3136,1.6864
2.0,2.0,0.0
6.0,4.1924,1.8075999999999999
6.0,3.6517,2.3483
3.0,3.9059,-0.9058999999999999
2.0,2.0,0.0
6.0,4.1683,1.8316999999999997
5.0,4.1225,0.8775000000000004
5.0,4.055,0.9450000000000003
3.0,3.9487,-0.9487000000000001
3.0,3.9831,-0.9830999999999999
2.0,2.0,0.0
2.0,3.978,-1.9780000000000002
2.0,2.0,0.0
6.0,4.3932,1.6067999999999998
2.0,2.0,0.0
3.0,3.9403,-0.9403000000000001
4.0,4.0567,-0.056700000000000195
6.0,3.975,2.025
2.0,2.0,0.0
5.0,4.2295,0.7705000000000002
6.0,4.0283,1.9717000000000002
2.0,3.9604,-1.9604
5.0,4.3372,0.6627999999999998
4.0,3.9707,0.029300000000000104
3.0,3.7007,-0.7006999999999999
2.0,3.9456,-1.9456000000000002
3.0,4.0172,-1.0171999999999999
1.0,0.9914,0.008600000000000052
2.0,3.9723,-1.9723000000000002
6.0,4.0212,1.9787999999999997
5.0,4.2266,0.7733999999999996
0.0,0.0,0.0
1.0,0.993,0.007000000000000006
5.0,4.0831,0.9169
5.0,3.9143,1.0857
2.0,3.8727,-1.8727
3.0,3.7731,-0.7730999999999999
3.0,4.0415,-1.0415
4.0,3.8266,0.1734
1.0,0.9926,0.007399999999999962
6.0,4.0651,1.9348999999999998
4.0,4.0279,-0.027899999999999814
3.0,3.9619,-0.9619
4.0,3.785,0.21499999999999986
5.0,4.0919,0.9081000000000001
0.0,0.0,0.0
3.0,4.0526,-1.0526
2.0,4.0788,-2.0788
3.0,3.988,-0.988
6.0,4.0955,1.9044999999999996
4.0,3.7483,0.25170000000000003
3.0,4.2984,-1.2984
4.0,3.9202,0.0798000000000001
3.0,3.9278,-0.9278
0.0,0.0,0.0
6.0,4.0127,1.9873000000000003
4.0,3.7473,0.2526999999999999
4.0,3.6741,0.32589999999999986
1.0,0.9926,0.007399999999999962
6.0,4.0623,1.9377000000000004
6.0,4.1475,1.8525
6.0,3.9906,2.0094
2.0,3.9102,-1.9102000000000001
0.0,0.0,0.0
2.0,3.8103,-1.8102999999999998
2.0,3.9257,-1.9257
1.0,0.9909,0.009099999999999997
2.0,3.0627,-1.0627
5.0,4.0107,0.9893000000000001
2.0,2.0,0.0
2.0,2.0,0.0
3.0,3.9581,-0.9581
6.0,4.0479,1.9520999999999997
5.0,4.1757,0.8243
5.0,3.9848,1.0152
2.0,3.9574,-1.9573999999999998
4.0,3.9314,0.0686
5.0,3.8458,1.1542
0.0,0.0,0.0
4.0,4.1207,-0.12070000000000025
5.0,4.4316,0.5683999999999996
2.0,2.0,0.0
4.0,3.9867,0.01330000000000009
6.0,4.1397,1.8602999999999996
6.0,4.1237,1.8762999999999996
2.0,2.0,0.0
6.0,4.0535,1.9465000000000003
4.0,3.542,0.4580000000000002
3.0,3.9681,-0.9681000000000002
2.0,3.8743,-1.8742999999999999
6.0,4.0227,1.9772999999999996
5.0,4.003,0.9969999999999999
4.0,3.688,0.31199999999999983
6.0,4.0259,1.9741
2.0,2.0,0.0
6.0,3.9324,2.0676
6.0,4.0563,1.9436999999999998
5.0,3.9507,1.0493000000000001
5.0,3.9312,1.0688
5.0,3.9988,1.0011999999999999
2.0,2.0,0.0
3.0,3.9674,-0.9674
2.0,2.0,0.0
5.0,3.8628,1.1372
3.0,3.946,-0.9460000000000002
2.0,2.0,0.0
3.0,3.7917,-0.7917000000000001
6.0,4.6082,1.3918
2.0,2.0,0.0
2.0,3.9287,-1.9287
4.0,4.1018,-0.10179999999999989
6.0,4.0578,1.9421999999999997
5.0,4.046,0.9539999999999997
6.0,4.359,1.641
6.0,3.8732,2.1268
2.0,2.0,0.0
0.0,0.0,0.0
2.0,3.971,-1.971
2.0,2.0,0.0
4.0,3.9945,0.00550000000000006
2.0,3.9722,-1.9722
2.0,2.0,0.0
2.0,2.0,0.0
2.0,2.0,0.0
6.0,3.9925,2.0075
2.0,2.0,0.0
3.0,4.1324,-1.1323999999999996
4.0,3.6282,0.3717999999999999
2.0,2.0,0.0
4.0,4.0268,-0.026799999999999713
3.0,3.5524,-0.5524
2.0,2.0,0.0
2.0,3.7242,-1.7242000000000002
3.0,3.9115,-0.9115000000000002
5.0,4.5245,0.47550000000000026
3.0,3.6052,-0.6052
6.0,4.0649,1.9351000000000003
2.0,2.0,0.0
2.0,2.0,0.0
6.0,4.0017,1.9983000000000004
2.0,3.9059,-1.9059
3.0,4.0523,-1.0522999999999998
4.0,4.0387,-0.0387000000000004
6.0,4.0023,1.9977
5.0,3.9813,1.0187
6.0,4.288,1.7119999999999997
5.0,4.0266,0.9733999999999998
4.0,4.0916,-0.09159999999999968
2.0,3.3261,-1.3260999999999998
3.0,3.9907,-0.9906999999999999
3.0,3.8929,-0.8929
6.0,4.0361,1.9638999999999998
6.0,4.0238,1.9762000000000004
5.0,4.2429,0.7571000000000003
6.0,4.0338,1.9661999999999997
6.0,4.0785,1.9215
2.0,4.4552,-2.4551999999999996
5.0,3.8735,1.1265
0.0,0.0,0.0
5.0,4.0603,0.9397000000000002
6.0,4.1395,1.8605
2.0,2.0,0.0
2.0,3.9005,-1.9005
4.0,3.9618,0.03819999999999979
2.0,2.0,0.0
6.0,4.0514,1.9485999999999999
2.0,3.6582,-1.6582
2.0,2.0,0.0
6.0,4.167,1.8330000000000002
4.0,4.0324,-0.032399999999999984
6.0,3.904,2.096
6.0,4.5469,1.4531
4.0,3.9965,0.0034999999999998366
0.0,0.0,0.0
5.0,4.607,0.3929999999999998
2.0,3.829,-1.8290000000000002
4.0,3.8894,0.11059999999999981
4.0,4.0181,-0.01809999999999956
6.0,4.0324,1.9676
4.0,3.8073,0.19269999999999987
4.0,4.0366,-0.036599999999999966
2.0,2.0,0.0
4.0,3.9999,0.00010000000000021103
1.0,0.993,0.007000000000000006
5.0,3.9185,1.0815000000000001
0.0,0.0,0.0
6.0,4.2882,1.7118000000000002
4.0,3.9768,0.02320000000000011
6.0,3.8796,2.1204
6.0,4.3124,1.6875999999999998
4.0,3.7232,0.27680000000000016
4.0,4.0193,-0.019300000000000317
2.0,3.9895,-1.9895
2.0,3.9493,-1.9493
3.0,4.033,-1.0330000000000004
2.0,3.8696,-1.8696000000000002
5.0,4.3911,0.6089000000000002
1.0,0.9926,0.007399999999999962
5.0,3.5933,1.4066999999999998
4.0,4.0117,-0.011700000000000266
0.0,0.0,0.0
6.0,4.8108,1.1891999999999996
2.0,2.0,0.0
2.0,3.6821,-1.6821000000000002
6.0,4.0361,1.9638999999999998
3.0,3.6569,-0.6568999999999998
6.0,4.0353,1.9646999999999997
3.0,4.0519,-1.0518999999999998
2.0,3.9512,-1.9512
2.0,2.0,0.0
5.0,4.1334,0.8666
2.0,2.0,0.0
6.0,4.1712,1.8288000000000002
2.0,3.8904,-1.8904
5.0,3.9361,1.0638999999999998
5.0,3.9854,1.0146000000000002
4.0,4.0531,-0.0530999999999997
2.0,2.0,0.0
3.0,3.9609,-0.9609000000000001
2.0,3.9105,-1.9104999999999999
0.0,0.0,0.0
4.0,3.8611,0.13890000000000002
2.0,2.0,0.0
6.0,4.7911,1.2088999999999999
4.0,4.4579,-0.4579000000000004
4.0,4.0222,-0.022199999999999775
3.0,4.0569,-1.0568999999999997
2.0,3.9676,-1.9676
4.0,4.0232,-0.02320000000000011
2.0,2.0,0.0
2.0,2.0,0.0
1.0,0.9926,0.007399999999999962
5.0,4.3399,0.6600999999999999
3.0,4.022,-1.0220000000000002
6.0,3.9867,2.0133
2.0,2.0,0.0
3.0,3.92,-0.9199999999999999
6.0,4.0084,1.9916
6.0,4.2049,1.7950999999999997
3.0,3.9857,-0.9857
5.0,4.0696,0.9303999999999997
2.0,3.9667,-1.9667
3.0,3.9404,-0.9403999999999999
2.0,2.0,0.0
2.0,3.7711,-1.7711000000000001
2.0,3.9938,-1.9937999999999998
2.0,3.9209,-1.9209
5.0,4.0249,0.9751000000000003
2.0,2.0,0.0
2.0,2.0,0.0
5.0,3.989,1.0110000000000001
3.0,3.4752,-0.47520000000000007
3.0,3.9936,-0.9935999999999998
5.0,4.0052,0.9947999999999997
2.0,2.0,0.0
2.0,3.8807,-1.8807
5.0,3.9148,1.0852
3.0,3.5768,-0.5768
2.0,2.0,0.0
2.0,2.0,0.0
4.0,3.9834,0.016599999999999948
2.0,4.004,-2.0039999999999996
5.0,3.9594,1.0406
2.0,2.0,0.0
3.0,3.895,-0.895
2.0,2.0,0.0
5.0,3.9877,1.0123000000000002
5.0,3.9809,1.0191
2.0,2.0,0.0
4.0,3.9325,0.0674999999999999
4.0,4.2511,-0.2511000000000001
2.0,2.0,0.0
5.0,3.7269,1.2731
2.0,2.0,0.0
6.0,4.6964,1.3036000000000003
4.0,3.9766,0.023400000000000087
5.0,3.8209,1.1791
6.0,4.0102,1.9897999999999998
2.0,2.0,0.0
4.0,3.8158,0.18420000000000014
3.0,3.9906,-0.9906000000000001
2.0,3.8255,-1.8255
2.0,2.0,0.0
4.0,4.0509,-0.05090000000000039
0.0,0.0,0.0
2.0,3.9148,-1.9148
2.0,2.0,0.0
5.0,4.3831,0.6169000000000002
2.0,2.0,0.0
2.0,3.8084,-1.8083999999999998
3.0,3.8874,-0.8874
4.0,4.0464,-0.04640000000000022
6.0,5.1346,0.8654000000000002
3.0,4.0209,-1.0209000000000001
2.0,3.9955,-1.9954999999999998
2.0,3.9315,-1.9315000000000002
2.0,4.0071,-2.0071000000000003
2.0,2.0,0.0
3.0,3.9461,-0.9460999999999999
3.0,3.8814,-0.8814000000000002
2.0,4.0037,-2.0037000000000003
2.0,3.8281,-1.8281
2.0,3.7043,-1.7043
4.0,4.0444,-0.04440000000000044
5.0,4.1743,0.8257000000000003
4.0,3.9623,0.03770000000000007
3.0,4.0019,-1.0019
5.0,4.0825,0.9175000000000004
3.0,3.767,-0.7669999999999999
4.0,3.9911,0.00890000000000013
2.0,3.8801,-1.8801
3.0,4.0045,-1.0045000000000002
4.0,3.9778,0.02220000000000022
4.0,4.0206,-0.02059999999999995
4.0,3.9669,0.03310000000000013
4.0,3.9532,0.046800000000000175
2.0,2.0,0.0
6.0,4.0348,1.9652000000000003
6.0,4.0198,1.9802
2.0,2.0,0.0
2.0,2.0,0.0
4.0,3.7832,0.2168000000000001
4.0,4.0301,-0.030100000000000016
4.0,3.9647,0.03529999999999989
6.0,4.0741,1.9259000000000004
5.0,4.0035,0.9965000000000002
1.0,0.9933,0.006700000000000039
2.0,2.0,0.0
5.0,4.032,0.968
2.0,2.0,0.0
2.0,3.7324,-1.7324000000000002
1.0,0.9883,0.011700000000000044
3.0,3.9502,-0.9502000000000002
2.0,3.9926,-1.9926
2.0,2.0,0.0
2.0,2.0,0.0
5.0,3.9968,1.0032
2.0,3.667,-1.6669999999999998
2.0,2.0,0.0
6.0,3.988,2.012
2.0,3.92,-1.92
5.0,4.0425,0.9574999999999996
2.0,3.8747,-1.8746999999999998
5.0,4.014,0.9859999999999998
4.0,3.9112,0.08879999999999999
5.0,4.0718,0.9282000000000004
4.0,4.0325,-0.03249999999999975
0.0,0.0,0.0
2.0,2.0,0.0
5.0,3.9283,1.0716999999999999
1.0,0.9929,0.007099999999999995
4.0,3.9819,0.018100000000000005
5.0,4.2082,0.7918000000000003
4.0,3.7916,0.20840000000000014
4.0,4.1432,-0.14320000000000022
6.0,4.0165,1.9835000000000003
2.0,3.8875,-1.8875000000000002
2.0,2.0,0.0
5.0,4.1263,0.8737000000000004
2.0,3.7965,-1.7965
6.0,4.1587,1.8413000000000004
5.0,4.4585,0.5415000000000001
1.0,0.9929,0.007099999999999995
3.0,4.0869,-1.0869
1.0,0.9929,0.007099999999999995
2.0,2.0,0.0
6.0,4.2308,1.7691999999999997
5.0,4.3111,0.6889000000000003
2.0,2.0,0.0
2.0,2.0,0.0
4.0,3.9121,0.08789999999999987
2.0,2.0,0.0
5.0,4.0128,0.9871999999999996
4.0,3.9665,0.033500000000000085
2.0,4.0182,-2.0182
6.0,4.1139,1.8860999999999999
3.0,3.7378,-0.7378
2.0,2.0,0.0
3.0,3.6592,-0.6591999999999998
6.0,4.0214,1.9786000000000001
5.0,3.9849,1.0151
6.0,4.0575,1.9425
2.0,4.1315,-2.1315
6.0,4.4293,1.5707000000000004
0.0,0.0,0.0
4.0,3.9713,0.02870000000000017
5.0,4.0807,0.9192999999999998
4.0,3.7539,0.2461000000000002
5.0,4.3573,0.6426999999999996
6.0,4.0809,1.9191000000000003
3.0,3.9922,-0.9922
2.0,2.0,0.0
3.0,3.9855,-0.9855
